muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre libre,dioxido de azufre total,pH,sulfatos,calidad,SO2_l / SO2_tot,diox_simil_1,diox_simil_2
64,7.7,0.28,0.33,6.7,0.037,32.0,155.0,3.39,0.62,7,0.2064516129032258,4.503577342094862e-22,0.8103816252373415
65,6.6,0.56,0.15,10.0,0.037,38.0,157.0,3.28,0.52,5,0.24203821656050956,9.577888291887943e-23,0.7864312286813591
66,6.4,0.17,0.34,1.5,0.093,43.0,136.0,3.25,0.49,6,0.3161764705882353,3.3146813253630435e-16,0.9753099120283326
67,6.7,0.34,0.4,2.1,0.033,34.0,111.0,2.97,0.48,7,0.3063063063063063,6.409946534463482e-10,0.9453027806520595
68,8.0,0.83,0.27,2.0,0.08,11.0,63.0,3.29,0.48,4,0.1746031746031746,0.020486277647979705,0.37074158331572676
69,5.5,0.485,0.0,1.5,0.065,8.0,103.0,3.63,0.4,4,0.07766990291262135,2.982258036495961e-08,0.8761219372139776
70,6.5,0.22,0.19,4.5,0.096,16.0,115.0,3.02,0.44,5,0.1391304347826087,8.137117671797838e-11,0.9702029524890169
71,7.2,0.47,0.16,5.9,0.048,14.0,125.0,3.09,0.49,5,0.112,3.069780955097918e-13,0.999750031247396
72,7.2,0.23,0.32,8.5,0.058,47.0,186.0,3.19,0.4,6,0.25268817204301075,1.1529317761451266e-33,0.4065696597405991
73,7.7,0.44,0.24,11.2,0.031,41.0,167.0,3.12,0.43,7,0.24550898203592814,2.9072639567353304e-26,0.6568825786411052
74,7.2,0.52,0.07,1.4,0.074,5.0,20.0,3.32,0.81,6,0.25,0.8632939774163194,0.060265227497298776
75,7.3,0.2,0.39,2.3,0.048,24.0,87.0,2.94,0.35,6,0.27586206896551724,2.0399503411171922e-05,0.6836904652289411
76,6.1,0.44,0.28,4.25,0.032,43.0,132.0,3.26,0.47,7,0.32575757575757575,4.322251274666006e-15,0.9910403787728836
77,6.0,0.26,0.18,7.0,0.055,50.0,194.0,3.21,0.43,5,0.25773195876288657,4.611939298975168e-37,0.3147426368427819
78,5.5,0.18,0.22,5.5,0.037,10.0,86.0,3.46,0.44,5,0.11627906976744186,2.915162210177123e-05,0.6703200460356393
79,10.6,0.42,0.48,2.7,0.065,5.0,18.0,3.21,0.87,6,0.2777777777777778,0.7842715137715565,0.05414985409492427
80,6.9,0.33,0.21,1.0,0.053,39.0,148.0,3.12,0.45,6,0.2635135135135135,8.403950222399538e-20,0.8860339595928756
81,6.6,0.23,0.3,14.9,0.051,33.0,118.0,3.04,0.54,6,0.2796610169491525,1.6248833408110006e-11,0.9841273200552851
82,9.0,0.82,0.05,2.4,0.081,26.0,96.0,3.36,0.53,5,0.2708333333333333,6.265733440181832e-07,0.7985162187593771
83,4.7,0.335,0.14,1.3,0.036,69.0,168.0,3.47,0.46,5,0.4107142857142857,1.251336797465485e-26,0.6433927065729562
84,6.5,0.67,0.0,4.3,0.057,11.0,20.0,3.45,0.56,4,0.55,0.8632939774163194,0.060265227497298776
85,6.9,0.3,0.21,15.7,0.056,49.0,159.0,3.11,0.48,5,0.3081761006289308,1.988652231859961e-23,0.7616638213305269
86,6.8,0.12,0.3,12.9,0.049,32.0,88.0,3.2,0.35,6,0.36363636363636365,1.4189617822929707e-05,0.6969789984668727
87,5.9,0.22,0.3,1.3,0.052,42.0,86.0,3.31,0.47,6,0.4883720930232558,2.915162210177123e-05,0.6703200460356393
88,11.5,0.45,0.5,3.0,0.078,19.0,47.0,3.26,1.11,6,0.40425531914893614,0.30119421191220214,0.21008354374916954
89,7.2,0.22,0.35,5.5,0.054,37.0,183.0,3.08,0.5,5,0.20218579234972678,1.9634889666798433e-32,0.44385826077685925
90,7.4,0.19,0.31,14.5,0.045,39.0,193.0,3.1,0.5,6,0.20207253886010362,1.2524020505756419e-36,0.3255464903617943
91,11.5,0.41,0.52,3.0,0.08,29.0,55.0,3.26,0.88,5,0.5272727272727272,0.09517861450234763,0.2835831218565951
92,6.1,0.25,0.18,10.5,0.049,41.0,124.0,3.14,0.35,5,0.33064516129032256,5.51022914228981e-13,0.999000499833375
93,5.7,0.32,0.38,4.75,0.033,23.0,94.0,3.42,0.42,7,0.24468085106382978,1.4169555030100371e-06,0.7741419687922484
94,6.0,0.27,0.3,14.7,0.044,15.0,144.0,3.12,0.53,6,0.10416666666666667,1.4615999237207966e-18,0.922193691444608
95,5.6,0.2,0.22,1.3,0.049,25.0,155.0,3.74,0.43,5,0.16129032258064516,4.503577342094862e-22,0.8103816252373415
96,7.2,0.29,0.4,7.6,0.024,56.0,177.0,3.04,0.32,6,0.3163841807909605,4.843089239878731e-30,0.5219152816293969
97,7.3,0.28,0.35,1.6,0.054,31.0,148.0,3.18,0.47,5,0.20945945945945946,8.403950222399538e-20,0.8860339595928756
98,6.2,0.43,0.22,1.8,0.078,21.0,56.0,3.52,0.6,6,0.375,0.08021858963571736,0.29375770032353277
99,6.6,0.16,0.36,1.1,0.031,27.0,93.0,3.23,0.34,8,0.2903225806451613,2.111736422206623e-06,0.7616638213305269
100,5.8,0.19,0.33,4.2,0.038,49.0,133.0,3.16,0.42,7,0.3684210526315789,2.2950999526353423e-15,0.9878247258083831
101,5.8,0.4,0.42,4.4,0.047,38.5,245.0,3.25,0.57,6,0.15714285714285714,1.2071663644473335e-62,0.02900607465701743
102,6.2,0.28,0.41,5.0,0.043,50.0,188.0,3.23,0.64,6,0.26595744680851063,1.690278252441856e-34,0.38251018447178037
103,7.5,0.26,0.26,18.35,0.084,33.0,139.0,3.17,0.39,5,0.23741007194244604,4.535551023872451e-17,0.9586300930895252
104,8.1,0.66,0.7,2.2,0.098,25.0,129.0,3.08,0.53,5,0.1937984496124031,2.784842452933014e-14,0.9977525293526299
105,6.3,0.41,0.18,3.5,0.027,23.0,109.0,3.34,0.54,8,0.21100917431192662,1.7354484227940743e-09,0.9302982921639203
106,6.3,0.36,0.28,2.5,0.035,18.0,73.0,3.1,0.47,7,0.2465753424657534,0.0017502441263580752,0.49546924289722294
107,7.8,0.49,0.49,7.0,0.043,29.0,149.0,3.21,0.33,5,0.19463087248322147,4.0539911292540826e-20,0.8761219372139776
108,6.6,0.18,0.28,1.7,0.041,53.0,161.0,3.13,0.45,6,0.32919254658385094,4.031111852619467e-24,0.7362025458114003
109,7.2,0.695,0.13,2.0,0.076,12.0,20.0,3.29,0.54,5,0.6,0.8632939774163194,0.060265227497298776
110,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,6,0.2879581151832461,9.070826166408033e-36,0.3477574586840902
111,6.5,0.21,0.35,5.7,0.043,47.0,197.0,3.24,0.5,6,0.23857868020304568,2.221613055855667e-38,0.2835831218565951
112,7.4,0.18,0.3,10.4,0.045,44.0,174.0,3.11,0.57,6,0.25287356321839083,7.014417661831649e-29,0.5621424451968224
113,7.1,0.33,0.64,13.2,0.056,12.0,105.0,3.05,0.39,5,0.11428571428571428,1.1837421617474535e-08,0.895610204755188
114,6.2,0.27,0.32,8.8,0.047,65.0,224.0,3.17,0.47,5,0.29017857142857145,2.731469499811587e-51,0.09062728067998384
115,11.6,0.41,0.54,1.5,0.095,22.0,41.0,3.02,0.76,7,0.5365853658536586,0.5554370486980182,0.1642689919485795
116,8.0,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,6,0.3333333333333333,0.7842715137715565,0.05414985409492427
117,6.6,0.58,0.02,2.4,0.069,19.0,40.0,3.38,0.66,6,0.475,0.6022997704830654,0.15739448212473714
118,6.8,0.23,0.4,1.6,0.047,5.0,133.0,3.23,0.7,6,0.03759398496240601,2.2950999526353423e-15,0.9878247258083831
119,9.2,0.23,0.35,10.7,0.037,34.0,145.0,3.09,0.32,5,0.23448275862068965,7.221890544425696e-19,0.91370273103288
120,5.9,0.29,0.25,12.0,0.057,48.0,224.0,3.23,0.41,6,0.21428571428571427,2.731469499811587e-51,0.09062728067998384
121,6.2,0.16,0.32,1.1,0.036,74.0,184.0,3.22,0.41,6,0.40217391304347827,7.677608218738721e-33,0.43127902868897855
122,7.4,0.27,0.31,2.4,0.014,15.0,143.0,3.03,0.65,4,0.1048951048951049,2.9403589739877336e-18,0.9302982921639203
123,6.6,0.64,0.28,4.4,0.032,19.0,78.0,3.11,0.62,6,0.24358974358974358,0.0004085076160078274,0.5621424451968224
124,5.9,0.26,0.27,18.2,0.048,52.0,168.0,3.35,0.44,5,0.30952380952380953,1.251336797465485e-26,0.6433927065729562
125,7.8,0.28,0.22,1.4,0.056,24.0,130.0,3.28,0.48,5,0.18461538461538463,1.505599717049095e-14,0.9960079893439915
126,6.3,0.98,0.01,2.0,0.057,15.0,33.0,3.6,0.46,6,0.45454545454545453,0.8976275964304349,0.11506593121362504
127,6.5,0.21,0.51,17.6,0.045,34.0,125.0,3.2,0.47,6,0.272,3.069780955097918e-13,0.999750031247396
128,8.4,0.62,0.12,1.8,0.072,38.0,46.0,3.38,0.89,6,0.8260869565217391,0.3385782657208353,0.20189651799465538
129,6.2,0.24,0.27,16.8,0.04,48.0,129.0,3.23,0.38,6,0.37209302325581395,2.784842452933014e-14,0.9977525293526299
130,7.7,0.18,0.35,5.8,0.055,25.0,144.0,3.24,0.54,6,0.1736111111111111,1.4615999237207966e-18,0.922193691444608
131,6.4,0.5,0.16,12.9,0.042,26.0,138.0,3.28,0.33,5,0.18840579710144928,8.854683967714215e-17,0.9646402934831231
132,10.2,0.29,0.65,2.4,0.075,6.0,17.0,3.22,0.63,6,0.35294117647058826,0.7408182206817179,0.05129048610743099
133,5.0,0.61,0.12,1.3,0.009,65.0,100.0,3.26,0.37,5,0.65,1.1400768255377355e-07,0.8445089033860343
134,7.1,0.13,0.38,1.8,0.046,14.0,114.0,3.32,0.9,6,0.12280701754385964,1.3755462568592508e-10,0.9646402934831231
135,6.3,0.27,0.29,12.2,0.044,59.0,196.0,3.14,0.4,6,0.3010204081632653,6.142510493613531e-38,0.29375770032353277
136,7.1,0.44,0.23,5.8,0.035,24.0,100.0,3.15,0.57,7,0.24,1.1400768255377355e-07,0.8445089033860343
137,7.0,0.39,0.21,10.7,0.098,13.0,91.0,3.03,0.47,5,0.14285714285714285,4.6066944370861444e-06,0.7362025458114003
138,9.0,0.58,0.25,2.0,0.104,8.0,21.0,3.27,0.72,5,0.38095238095238093,0.8976275964304349,0.06352955806803286
139,7.3,0.25,0.39,6.4,0.034,8.0,84.0,3.18,0.46,5,0.09523809523809523,5.846981031057106e-05,0.6433927065729562
140,7.6,0.19,0.41,1.1,0.04,38.0,143.0,2.92,0.42,5,0.26573426573426573,2.9403589739877336e-18,0.9302982921639203
141,7.4,0.33,0.26,15.6,0.049,67.0,210.0,3.06,0.68,5,0.319047619047619,2.3320415641888565e-44,0.17135805889335737
142,7.1,0.22,0.32,16.9,0.056,49.0,158.0,3.37,0.38,6,0.310126582278481,4.377409621689854e-23,0.7741419687922484
143,8.4,0.36,0.36,11.1,0.032,21.0,132.0,2.95,0.39,6,0.1590909090909091,4.322251274666006e-15,0.9910403787728836
144,7.1,0.49,0.22,2.0,0.047,146.5,307.5,3.24,0.37,3,0.4764227642276423,3.0818022698115213e-103,0.0002650578377849812
145,6.3,0.34,0.29,6.2,0.046,29.0,227.0,3.29,0.53,6,0.1277533039647577,7.667648073722e-53,0.0780621480245016
146,7.1,0.21,0.31,3.8,0.021,40.0,142.0,3.17,0.39,7,0.28169014084507044,5.879852484306267e-18,0.9380049995307295
147,8.1,0.22,0.43,1.5,0.044,28.0,129.0,3.22,0.45,6,0.21705426356589147,2.784842452933014e-14,0.9977525293526299
148,5.7,0.22,0.2,16.0,0.044,41.0,113.0,3.22,0.46,6,0.36283185840707965,2.3113942871074907e-10,0.9586300930895252
149,6.4,0.19,0.35,10.2,0.043,40.0,106.0,3.16,0.5,6,0.37735849056603776,7.39102064415364e-09,0.9048374180359595
150,7.9,0.33,0.23,1.7,0.077,18.0,45.0,3.29,0.65,5,0.4,0.3783256296880768,0.19393155334169038
151,7.0,0.32,0.27,7.1,0.027,37.0,122.0,3.15,0.6,7,0.30327868852459017,1.7437206169109494e-12,0.9960079893439915
152,6.3,0.3,0.91,8.2,0.034,50.0,199.0,3.39,0.49,6,0.25125628140703515,2.8542771588702204e-39,0.2638828564181558
153,7.6,0.29,0.26,6.5,0.042,32.0,160.0,3.14,0.47,5,0.2,8.980380306948888e-24,0.7490122054026693
154,8.6,0.42,0.39,1.8,0.068,6.0,12.0,3.35,0.69,8,0.5,0.5091564206075492,0.03881300143312163
155,8.0,0.22,0.28,14.0,0.053,83.0,197.0,3.14,0.45,6,0.4213197969543147,2.221613055855667e-38,0.2835831218565951
156,6.0,0.16,0.36,1.6,0.042,13.0,61.0,3.22,0.54,6,0.21311475409836064,0.031179326997954438,0.3477574586840902
157,6.6,0.28,0.3,12.9,0.033,31.0,177.0,3.12,0.39,6,0.1751412429378531,4.843089239878731e-30,0.5219152816293969
158,7.7,0.38,0.23,10.8,0.03,28.0,95.0,2.93,0.41,6,0.29473684210526313,9.450764625260006e-07,0.7864312286813591
159,6.8,0.21,0.62,6.4,0.041,7.0,113.0,2.96,0.59,5,0.061946902654867256,2.3113942871074907e-10,0.9586300930895252
160,6.6,0.27,0.32,1.3,0.044,18.0,93.0,3.11,0.56,5,0.1935483870967742,2.111736422206623e-06,0.7616638213305269
161,7.1,0.28,0.26,2.8,0.039,50.0,118.0,3.06,0.59,6,0.423728813559322,1.6248833408110006e-11,0.9841273200552851
162,7.6,0.715,0.0,2.1,0.068,30.0,35.0,3.48,0.65,6,0.8571428571428571,0.8253068684916823,0.12615423920258956
163,6.6,0.25,0.36,8.1,0.045,54.0,180.0,3.08,0.42,5,0.3,3.1681185134954354e-31,0.4823911401151259
164,6.6,0.34,0.28,1.3,0.035,32.0,90.0,3.1,0.42,6,0.35555555555555557,6.743037951139162e-06,0.7232502423798424
165,7.4,0.19,0.3,12.8,0.053,48.5,229.0,3.14,0.49,7,0.21179039301310043,6.872961027031994e-54,0.07049242653287519
166,8.8,0.61,0.14,2.4,0.067,10.0,42.0,3.19,0.59,5,0.23809523809523808,0.5091564206075492,0.17135805889335737
167,6.2,0.36,0.32,4.0,0.036,44.0,92.0,3.2,0.5,7,0.4782608695652174,3.128365169273275e-06,0.7490122054026693
168,5.0,0.24,0.34,1.1,0.034,49.0,158.0,3.32,0.32,7,0.310126582278481,4.377409621689854e-23,0.7741419687922484
169,6.6,0.22,0.37,1.6,0.04,31.0,101.0,3.15,0.66,5,0.3069306930693069,7.335171144838272e-08,0.8553453273074225
170,6.0,0.29,0.27,2.3,0.044,20.0,117.0,3.31,0.41,7,0.17094017094017094,2.796688455926927e-11,0.9799536542670847
171,6.6,0.38,0.29,2.9,0.035,15.0,101.0,3.04,0.37,6,0.1485148514851485,7.335171144838272e-08,0.8553453273074225
172,6.9,0.22,0.31,6.3,0.029,41.0,131.0,3.08,0.49,6,0.31297709923664124,8.091194688671889e-15,0.9937694906233947
173,6.6,0.22,0.23,17.3,0.047,37.0,118.0,3.08,0.46,6,0.3135593220338983,1.6248833408110006e-11,0.9841273200552851
174,5.1,0.33,0.22,1.6,0.027,18.0,89.0,3.51,0.38,7,0.20224719101123595,9.811062327352189e-06,0.7101706398545315
175,9.0,0.46,0.31,2.8,0.093,19.0,98.0,3.32,0.63,6,0.19387755102040816,2.7049830631279825e-07,0.8220122346781865
176,8.1,0.2,0.28,0.9,0.023,49.0,87.0,2.92,0.36,6,0.5632183908045977,2.0399503411171922e-05,0.6836904652289411
177,8.8,0.42,0.21,2.5,0.092,33.0,88.0,3.19,0.52,5,0.375,1.4189617822929707e-05,0.6969789984668727
178,7.0,0.31,0.29,1.4,0.037,33.0,128.0,3.12,0.36,7,0.2578125,5.120188741348687e-14,0.999000499833375
179,7.0,0.44,0.24,12.1,0.056,68.0,210.0,3.05,0.5,5,0.3238095238095238,2.3320415641888565e-44,0.17135805889335737
180,7.3,0.59,0.26,7.2,0.07,35.0,121.0,3.37,0.49,5,0.2892561983471074,3.0741274839199463e-12,0.9937694906233947
181,8.3,0.28,0.48,2.1,0.093,6.0,12.0,3.26,0.62,7,0.5,0.5091564206075492,0.03881300143312163
182,7.8,0.27,0.58,11.2,0.036,44.0,161.0,3.06,0.41,6,0.2732919254658385,4.031111852619467e-24,0.7362025458114003
183,9.3,0.5,0.36,1.8,0.084,6.0,17.0,3.27,0.77,6,0.35294117647058826,0.7408182206817179,0.05129048610743099
184,6.9,0.28,0.41,1.4,0.016,6.0,55.0,3.16,0.4,5,0.10909090909090909,0.09517861450234763,0.2835831218565951
185,6.7,0.2,0.42,14.0,0.038,83.0,160.0,3.16,0.5,6,0.51875,8.980380306948888e-24,0.7490122054026693
186,13.3,0.43,0.58,1.9,0.07,15.0,40.0,3.06,0.49,5,0.375,0.6022997704830654,0.15739448212473714
187,6.8,0.18,0.21,5.4,0.053,34.0,104.0,3.3,0.43,5,0.3269230769230769,1.8845343174858356e-08,0.8860339595928756
188,7.4,0.25,0.49,1.1,0.042,35.0,156.0,3.13,0.55,5,0.22435897435897437,2.083130990636858e-22,0.7985162187593771
189,8.0,0.17,0.29,2.4,0.029,52.0,119.0,3.03,0.33,6,0.4369747899159664,9.384140804010432e-12,0.9878247258083831
190,8.7,0.69,0.31,3.0,0.086,23.0,81.0,3.48,0.74,6,0.2839506172839506,0.00015877856490002055,0.6027516647500953
191,11.7,0.45,0.63,2.2,0.073,7.0,23.0,3.21,0.69,6,0.30434782608695654,0.9531337870775047,0.07049242653287519
192,6.2,0.21,0.18,11.6,0.044,61.0,155.0,3.14,0.52,6,0.3935483870967742,4.503577342094862e-22,0.8103816252373415
193,6.5,0.28,0.26,8.8,0.04,44.0,139.0,3.32,0.37,6,0.31654676258992803,4.535551023872451e-17,0.9586300930895252
194,7.2,0.27,0.28,15.2,0.046,6.0,41.0,3.17,0.39,6,0.14634146341463414,0.5554370486980182,0.1642689919485795
195,6.7,0.31,0.08,1.3,0.038,58.0,147.0,3.18,0.46,5,0.3945578231292517,1.7317228272655536e-19,0.895610204755188
196,6.4,0.64,0.21,1.8,0.081,14.0,31.0,3.59,0.66,5,0.45161290322580644,0.9531337870775047,0.10474253370494471
197,6.3,0.34,0.36,4.9,0.035,31.0,185.0,3.15,0.49,5,0.16756756756756758,2.984129468011159e-33,0.41884682445147203
198,7.3,0.24,0.3,2.5,0.042,31.0,104.0,3.05,0.56,7,0.2980769230769231,1.8845343174858356e-08,0.8860339595928756
199,7.2,0.19,0.39,1.2,0.036,32.0,85.0,3.16,0.5,5,0.3764705882352941,4.140950972534782e-05,0.6568825786411052
200,6.5,0.28,0.35,15.4,0.042,55.0,195.0,3.23,0.5,6,0.28205128205128205,1.6881756364316596e-37,0.3041452182568097
201,8.5,0.15,0.49,1.5,0.031,17.0,122.0,3.03,0.4,6,0.13934426229508196,1.7437206169109494e-12,0.9960079893439915
