muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre libre,dioxido de azufre total,pH,sulfatos,calidad
24,7.4,0.25,0.29,6.8,0.02,31.0,113.0,3.13,0.29,6
25,6.5,0.27,0.19,4.2,0.046,6.0,114.0,3.25,0.35,4
26,8.2,0.24,0.3,2.3,0.05,23.0,106.0,2.98,0.5,5
27,7.0,0.12,0.32,7.2,0.058,22.0,89.0,3.29,0.38,6
28,5.9,0.2,0.4,1.3,0.047,23.0,92.0,3.2,0.45,6
29,7.7,0.28,0.39,8.9,0.036,8.0,117.0,3.06,0.38,7
30,7.5,0.25,0.32,8.2,0.024,53.0,209.0,3.12,0.46,6
31,8.0,0.28,0.3,8.4,0.03,35.0,115.0,2.93,0.42,6
32,5.9,0.14,0.2,1.6,0.04,26.0,114.0,3.25,0.45,6
33,8.1,0.17,0.21,1.6,0.036,24.0,119.0,3.18,0.52,6
34,7.5,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,5
35,6.4,0.25,0.3,5.5,0.038,15.0,129.0,3.14,0.49,6
36,6.9,0.32,0.26,2.3,0.03,11.0,103.0,3.06,0.42,6
37,7.3,0.23,0.24,0.9,0.031,29.0,86.0,2.9,0.38,6
38,8.3,0.16,0.37,7.9,0.025,38.0,107.0,2.93,0.37,6
39,9.4,0.28,0.3,1.6,0.045,36.0,139.0,3.11,0.49,5
40,6.8,0.36,0.32,1.6,0.039,10.0,124.0,3.3,0.67,5
41,6.7,0.33,0.36,6.6,0.042,34.0,116.0,2.97,0.31,8
42,7.7,0.69,0.05,2.7,0.075,15.0,27.0,3.26,0.61,5
43,6.8,0.12,0.31,5.2,0.045,29.0,120.0,3.41,0.46,7
44,6.9,0.34,0.49,7.3,0.045,61.0,206.0,3.09,0.4,6
45,8.0,0.24,0.48,6.8,0.047,13.0,134.0,3.23,0.7,5
46,7.1,0.42,0.2,2.8,0.038,28.0,109.0,3.23,0.47,6
47,6.0,0.24,0.27,1.9,0.048,40.0,170.0,3.64,0.54,7
48,6.5,0.38,0.34,3.4,0.036,34.0,200.0,3.14,0.76,5
49,7.6,0.21,0.44,1.9,0.036,10.0,119.0,3.01,0.7,6
50,5.8,0.24,0.39,1.5,0.054,37.0,158.0,3.21,0.52,6
51,7.0,0.3,0.38,14.9,0.032,60.0,181.0,3.18,0.61,7
52,6.8,0.24,0.38,8.3,0.045,50.0,185.0,3.15,0.5,6
53,6.5,0.22,0.72,6.8,0.042,33.0,168.0,3.12,0.36,6
54,7.8,0.18,0.31,12.2,0.053,46.0,140.0,3.06,0.53,6
55,6.8,0.17,0.17,5.1,0.049,26.0,82.0,3.0,0.38,6
56,7.6,0.3,0.37,1.6,0.087,27.0,177.0,3.09,0.5,5
57,7.1,0.18,0.32,12.2,0.048,36.0,125.0,2.92,0.54,6
58,5.7,0.26,0.24,17.8,0.059,23.0,124.0,3.3,0.5,5
59,6.4,0.16,0.22,1.4,0.04,41.0,149.0,3.49,0.58,6
60,7.15,0.17,0.24,9.6,0.119,56.0,178.0,3.15,0.44,6
61,7.0,0.15,0.28,14.7,0.051,29.0,149.0,2.96,0.39,7
62,6.3,0.26,0.21,4.0,0.03,24.0,125.0,3.06,0.34,6
63,8.3,0.2,0.49,1.7,0.04,34.0,169.0,3.05,0.37,5
64,7.7,0.28,0.33,6.7,0.037,32.0,155.0,3.39,0.62,7
65,6.6,0.56,0.15,10.0,0.037,38.0,157.0,3.28,0.52,5
66,6.4,0.17,0.34,1.5,0.093,43.0,136.0,3.25,0.49,6
67,6.7,0.34,0.4,2.1,0.033,34.0,111.0,2.97,0.48,7
68,8.0,0.83,0.27,2.0,0.08,11.0,63.0,3.29,0.48,4
69,5.5,0.485,0.0,1.5,0.065,8.0,103.0,3.63,0.4,4
70,6.5,0.22,0.19,4.5,0.096,16.0,115.0,3.02,0.44,5
71,7.2,0.47,0.16,5.9,0.048,14.0,125.0,3.09,0.49,5
72,7.2,0.23,0.32,8.5,0.058,47.0,186.0,3.19,0.4,6
73,7.7,0.44,0.24,11.2,0.031,41.0,167.0,3.12,0.43,7
74,7.2,0.52,0.07,1.4,0.074,5.0,20.0,3.32,0.81,6
75,7.3,0.2,0.39,2.3,0.048,24.0,87.0,2.94,0.35,6
76,6.1,0.44,0.28,4.25,0.032,43.0,132.0,3.26,0.47,7
77,6.0,0.26,0.18,7.0,0.055,50.0,194.0,3.21,0.43,5
78,5.5,0.18,0.22,5.5,0.037,10.0,86.0,3.46,0.44,5
79,10.6,0.42,0.48,2.7,0.065,5.0,18.0,3.21,0.87,6
80,6.9,0.33,0.21,1.0,0.053,39.0,148.0,3.12,0.45,6
81,6.6,0.23,0.3,14.9,0.051,33.0,118.0,3.04,0.54,6
82,9.0,0.82,0.05,2.4,0.081,26.0,96.0,3.36,0.53,5
83,4.7,0.335,0.14,1.3,0.036,69.0,168.0,3.47,0.46,5
84,6.5,0.67,0.0,4.3,0.057,11.0,20.0,3.45,0.56,4
85,6.9,0.3,0.21,15.7,0.056,49.0,159.0,3.11,0.48,5
86,6.8,0.12,0.3,12.9,0.049,32.0,88.0,3.2,0.35,6
87,5.9,0.22,0.3,1.3,0.052,42.0,86.0,3.31,0.47,6
88,11.5,0.45,0.5,3.0,0.078,19.0,47.0,3.26,1.11,6
89,7.2,0.22,0.35,5.5,0.054,37.0,183.0,3.08,0.5,5
90,7.4,0.19,0.31,14.5,0.045,39.0,193.0,3.1,0.5,6
91,11.5,0.41,0.52,3.0,0.08,29.0,55.0,3.26,0.88,5
92,6.1,0.25,0.18,10.5,0.049,41.0,124.0,3.14,0.35,5
93,5.7,0.32,0.38,4.75,0.033,23.0,94.0,3.42,0.42,7
94,6.0,0.27,0.3,14.7,0.044,15.0,144.0,3.12,0.53,6
95,5.6,0.2,0.22,1.3,0.049,25.0,155.0,3.74,0.43,5
96,7.2,0.29,0.4,7.6,0.024,56.0,177.0,3.04,0.32,6
97,7.3,0.28,0.35,1.6,0.054,31.0,148.0,3.18,0.47,5
98,6.2,0.43,0.22,1.8,0.078,21.0,56.0,3.52,0.6,6
99,6.6,0.16,0.36,1.1,0.031,27.0,93.0,3.23,0.34,8
100,5.8,0.19,0.33,4.2,0.038,49.0,133.0,3.16,0.42,7
101,5.8,0.4,0.42,4.4,0.047,38.5,245.0,3.25,0.57,6
102,6.2,0.28,0.41,5.0,0.043,50.0,188.0,3.23,0.64,6
103,7.5,0.26,0.26,18.35,0.084,33.0,139.0,3.17,0.39,5
104,8.1,0.66,0.7,2.2,0.098,25.0,129.0,3.08,0.53,5
105,6.3,0.41,0.18,3.5,0.027,23.0,109.0,3.34,0.54,8
106,6.3,0.36,0.28,2.5,0.035,18.0,73.0,3.1,0.47,7
107,7.8,0.49,0.49,7.0,0.043,29.0,149.0,3.21,0.33,5
108,6.6,0.18,0.28,1.7,0.041,53.0,161.0,3.13,0.45,6
109,7.2,0.695,0.13,2.0,0.076,12.0,20.0,3.29,0.54,5
110,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,6
111,6.5,0.21,0.35,5.7,0.043,47.0,197.0,3.24,0.5,6
112,7.4,0.18,0.3,10.4,0.045,44.0,174.0,3.11,0.57,6
113,7.1,0.33,0.64,13.2,0.056,12.0,105.0,3.05,0.39,5
114,6.2,0.27,0.32,8.8,0.047,65.0,224.0,3.17,0.47,5
115,11.6,0.41,0.54,1.5,0.095,22.0,41.0,3.02,0.76,7
116,8.0,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,6
117,6.6,0.58,0.02,2.4,0.069,19.0,40.0,3.38,0.66,6
118,6.8,0.23,0.4,1.6,0.047,5.0,133.0,3.23,0.7,6
119,9.2,0.23,0.35,10.7,0.037,34.0,145.0,3.09,0.32,5
120,5.9,0.29,0.25,12.0,0.057,48.0,224.0,3.23,0.41,6
121,6.2,0.16,0.32,1.1,0.036,74.0,184.0,3.22,0.41,6
122,7.4,0.27,0.31,2.4,0.014,15.0,143.0,3.03,0.65,4
123,6.6,0.64,0.28,4.4,0.032,19.0,78.0,3.11,0.62,6
124,5.9,0.26,0.27,18.2,0.048,52.0,168.0,3.35,0.44,5
125,7.8,0.28,0.22,1.4,0.056,24.0,130.0,3.28,0.48,5
126,6.3,0.98,0.01,2.0,0.057,15.0,33.0,3.6,0.46,6
127,6.5,0.21,0.51,17.6,0.045,34.0,125.0,3.2,0.47,6
128,8.4,0.62,0.12,1.8,0.072,38.0,46.0,3.38,0.89,6
129,6.2,0.24,0.27,16.8,0.04,48.0,129.0,3.23,0.38,6
130,7.7,0.18,0.35,5.8,0.055,25.0,144.0,3.24,0.54,6
131,6.4,0.5,0.16,12.9,0.042,26.0,138.0,3.28,0.33,5
132,10.2,0.29,0.65,2.4,0.075,6.0,17.0,3.22,0.63,6
133,5.0,0.61,0.12,1.3,0.009,65.0,100.0,3.26,0.37,5
134,7.1,0.13,0.38,1.8,0.046,14.0,114.0,3.32,0.9,6
135,6.3,0.27,0.29,12.2,0.044,59.0,196.0,3.14,0.4,6
136,7.1,0.44,0.23,5.8,0.035,24.0,100.0,3.15,0.57,7
137,7.0,0.39,0.21,10.7,0.098,13.0,91.0,3.03,0.47,5
138,9.0,0.58,0.25,2.0,0.104,8.0,21.0,3.27,0.72,5
139,7.3,0.25,0.39,6.4,0.034,8.0,84.0,3.18,0.46,5
140,7.6,0.19,0.41,1.1,0.04,38.0,143.0,2.92,0.42,5
141,7.4,0.33,0.26,15.6,0.049,67.0,210.0,3.06,0.68,5
142,7.1,0.22,0.32,16.9,0.056,49.0,158.0,3.37,0.38,6
143,8.4,0.36,0.36,11.1,0.032,21.0,132.0,2.95,0.39,6
144,7.1,0.49,0.22,2.0,0.047,146.5,307.5,3.24,0.37,3
145,6.3,0.34,0.29,6.2,0.046,29.0,227.0,3.29,0.53,6
146,7.1,0.21,0.31,3.8,0.021,40.0,142.0,3.17,0.39,7
147,8.1,0.22,0.43,1.5,0.044,28.0,129.0,3.22,0.45,6
148,5.7,0.22,0.2,16.0,0.044,41.0,113.0,3.22,0.46,6
149,6.4,0.19,0.35,10.2,0.043,40.0,106.0,3.16,0.5,6
150,7.9,0.33,0.23,1.7,0.077,18.0,45.0,3.29,0.65,5
151,7.0,0.32,0.27,7.1,0.027,37.0,122.0,3.15,0.6,7
152,6.3,0.3,0.91,8.2,0.034,50.0,199.0,3.39,0.49,6
153,7.6,0.29,0.26,6.5,0.042,32.0,160.0,3.14,0.47,5
154,8.6,0.42,0.39,1.8,0.068,6.0,12.0,3.35,0.69,8
155,8.0,0.22,0.28,14.0,0.053,83.0,197.0,3.14,0.45,6
156,6.0,0.16,0.36,1.6,0.042,13.0,61.0,3.22,0.54,6
157,6.6,0.28,0.3,12.9,0.033,31.0,177.0,3.12,0.39,6
158,7.7,0.38,0.23,10.8,0.03,28.0,95.0,2.93,0.41,6
159,6.8,0.21,0.62,6.4,0.041,7.0,113.0,2.96,0.59,5
160,6.6,0.27,0.32,1.3,0.044,18.0,93.0,3.11,0.56,5
161,7.1,0.28,0.26,2.8,0.039,50.0,118.0,3.06,0.59,6
162,7.6,0.715,0.0,2.1,0.068,30.0,35.0,3.48,0.65,6
163,6.6,0.25,0.36,8.1,0.045,54.0,180.0,3.08,0.42,5
164,6.6,0.34,0.28,1.3,0.035,32.0,90.0,3.1,0.42,6
165,7.4,0.19,0.3,12.8,0.053,48.5,229.0,3.14,0.49,7
166,8.8,0.61,0.14,2.4,0.067,10.0,42.0,3.19,0.59,5
167,6.2,0.36,0.32,4.0,0.036,44.0,92.0,3.2,0.5,7
168,5.0,0.24,0.34,1.1,0.034,49.0,158.0,3.32,0.32,7
169,6.6,0.22,0.37,1.6,0.04,31.0,101.0,3.15,0.66,5
170,6.0,0.29,0.27,2.3,0.044,20.0,117.0,3.31,0.41,7
171,6.6,0.38,0.29,2.9,0.035,15.0,101.0,3.04,0.37,6
172,6.9,0.22,0.31,6.3,0.029,41.0,131.0,3.08,0.49,6
173,6.6,0.22,0.23,17.3,0.047,37.0,118.0,3.08,0.46,6
174,5.1,0.33,0.22,1.6,0.027,18.0,89.0,3.51,0.38,7
175,9.0,0.46,0.31,2.8,0.093,19.0,98.0,3.32,0.63,6
176,8.1,0.2,0.28,0.9,0.023,49.0,87.0,2.92,0.36,6
177,8.8,0.42,0.21,2.5,0.092,33.0,88.0,3.19,0.52,5
178,7.0,0.31,0.29,1.4,0.037,33.0,128.0,3.12,0.36,7
179,7.0,0.44,0.24,12.1,0.056,68.0,210.0,3.05,0.5,5
180,7.3,0.59,0.26,7.2,0.07,35.0,121.0,3.37,0.49,5
181,8.3,0.28,0.48,2.1,0.093,6.0,12.0,3.26,0.62,7
182,7.8,0.27,0.58,11.2,0.036,44.0,161.0,3.06,0.41,6
183,9.3,0.5,0.36,1.8,0.084,6.0,17.0,3.27,0.77,6
184,6.9,0.28,0.41,1.4,0.016,6.0,55.0,3.16,0.4,5
185,6.7,0.2,0.42,14.0,0.038,83.0,160.0,3.16,0.5,6
186,13.3,0.43,0.58,1.9,0.07,15.0,40.0,3.06,0.49,5
187,6.8,0.18,0.21,5.4,0.053,34.0,104.0,3.3,0.43,5
188,7.4,0.25,0.49,1.1,0.042,35.0,156.0,3.13,0.55,5
189,8.0,0.17,0.29,2.4,0.029,52.0,119.0,3.03,0.33,6
190,8.7,0.69,0.31,3.0,0.086,23.0,81.0,3.48,0.74,6
191,11.7,0.45,0.63,2.2,0.073,7.0,23.0,3.21,0.69,6
192,6.2,0.21,0.18,11.6,0.044,61.0,155.0,3.14,0.52,6
193,6.5,0.28,0.26,8.8,0.04,44.0,139.0,3.32,0.37,6
194,7.2,0.27,0.28,15.2,0.046,6.0,41.0,3.17,0.39,6
195,6.7,0.31,0.08,1.3,0.038,58.0,147.0,3.18,0.46,5
196,6.4,0.64,0.21,1.8,0.081,14.0,31.0,3.59,0.66,5
197,6.3,0.34,0.36,4.9,0.035,31.0,185.0,3.15,0.49,5
198,7.3,0.24,0.3,2.5,0.042,31.0,104.0,3.05,0.56,7
199,7.2,0.19,0.39,1.2,0.036,32.0,85.0,3.16,0.5,5
200,6.5,0.28,0.35,15.4,0.042,55.0,195.0,3.23,0.5,6
201,8.5,0.15,0.49,1.5,0.031,17.0,122.0,3.03,0.4,6
202,7.3,0.25,0.26,7.2,0.048,52.0,207.0,3.12,0.37,5
203,8.0,0.25,0.43,1.7,0.067,22.0,50.0,3.38,0.6,6
204,7.3,0.22,0.49,9.4,0.034,29.0,134.0,2.99,0.32,7
205,5.6,0.21,0.24,4.4,0.027,37.0,150.0,3.3,0.31,7
206,8.5,0.21,0.26,9.25,0.034,73.0,142.0,3.05,0.37,6
207,6.7,0.31,0.34,6.8,0.059,51.0,215.0,3.33,0.56,5
208,7.5,0.24,0.31,13.1,0.05,26.0,180.0,3.05,0.53,6
209,6.2,0.31,0.21,6.3,0.041,50.0,218.0,3.15,0.6,5
210,5.0,0.27,0.32,4.5,0.032,58.0,178.0,3.45,0.31,7
211,6.6,0.21,0.29,5.35,0.029,43.0,106.0,2.93,0.43,7
212,7.1,0.36,0.3,1.6,0.08,35.0,70.0,3.44,0.5,5
213,8.6,0.38,0.36,3.0,0.081,30.0,119.0,3.2,0.56,5
214,8.2,0.51,0.24,2.0,0.079,16.0,86.0,3.34,0.64,6
215,6.6,0.22,0.23,17.3,0.047,37.0,118.0,3.08,0.46,6
216,7.8,0.5,0.17,1.6,0.082,21.0,102.0,3.39,0.48,5
217,10.4,0.34,0.58,3.7,0.174,6.0,16.0,3.19,0.7,6
218,5.9,0.12,0.28,1.4,0.037,36.0,83.0,3.33,0.42,7
219,7.2,0.38,0.3,1.8,0.073,31.0,70.0,3.42,0.59,6
220,6.3,0.35,0.3,5.7,0.035,8.0,97.0,3.27,0.41,7
221,8.1,0.3,0.49,12.3,0.049,50.0,144.0,3.09,0.57,7
222,7.4,0.7,0.0,1.9,0.076,11.0,34.0,3.51,0.56,5
223,6.4,0.26,0.4,1.7,0.179,5.0,60.0,3.09,0.54,5
224,7.0,0.28,0.39,8.7,0.051,32.0,141.0,3.38,0.53,6
225,7.2,0.24,0.36,2.0,0.029,21.0,63.0,3.13,0.63,6
226,7.5,0.22,0.33,6.7,0.036,45.0,138.0,3.2,0.68,6
227,6.8,0.26,0.32,7.0,0.041,38.0,118.0,3.25,0.52,6
228,6.8,0.21,0.26,11.7,0.038,61.0,152.0,3.02,0.56,7
229,5.8,0.3,0.38,4.9,0.039,22.0,86.0,3.23,0.58,7
230,8.2,0.39,0.38,1.5,0.058,10.0,29.0,3.26,0.74,5
231,6.1,0.32,0.25,1.7,0.034,37.0,136.0,3.47,0.5,7
232,9.6,0.54,0.42,2.4,0.081,25.0,52.0,3.2,0.71,6
233,6.6,0.55,0.01,2.7,0.034,56.0,122.0,3.15,0.3,5
234,6.1,0.36,0.58,15.0,0.044,42.0,115.0,3.15,0.51,5
235,7.4,0.31,0.26,8.6,0.048,47.0,206.0,3.26,0.36,5
236,5.9,0.31,0.3,7.7,0.047,60.0,206.0,3.2,0.39,6
237,7.5,0.24,0.29,1.1,0.046,34.0,84.0,3.04,0.39,6
238,5.7,0.23,0.25,7.95,0.042,16.0,108.0,3.44,0.61,6
239,5.8,0.29,0.27,1.6,0.062,17.0,140.0,3.23,0.35,6
240,7.0,0.45,0.34,2.7,0.082,16.0,72.0,3.55,0.6,5
241,8.1,0.33,0.22,5.2,0.047,24.0,151.0,3.22,0.47,5
242,7.1,0.25,0.39,2.1,0.036,30.0,124.0,3.28,0.43,8
243,8.2,0.2,0.38,3.5,0.053,41.0,174.0,3.22,0.41,5
244,6.7,0.24,0.29,6.8,0.038,54.0,127.0,3.33,0.46,7
245,6.8,0.17,0.74,2.4,0.053,61.0,182.0,3.63,0.76,6
246,6.5,0.22,0.19,1.1,0.064,36.0,191.0,3.05,0.5,6
247,6.4,0.42,0.74,12.8,0.076,48.0,209.0,3.12,0.58,6
248,6.6,0.29,0.73,2.2,0.027,21.0,92.0,3.12,0.48,6
249,6.6,0.19,0.35,1.5,0.037,37.0,107.0,3.18,0.68,7
250,6.1,0.28,0.23,4.2,0.038,13.0,95.0,2.97,0.7,6
251,6.4,0.31,0.39,7.5,0.04,57.0,213.0,3.32,0.43,5
252,7.2,0.16,0.29,1.0,0.031,40.0,123.0,3.12,0.4,7
253,6.3,0.34,0.27,2.5,0.024,40.0,152.0,3.35,0.6,7
254,6.6,0.34,0.4,8.1,0.046,68.0,170.0,3.15,0.5,6
255,5.3,0.76,0.03,2.7,0.043,27.0,93.0,3.34,0.38,5
256,8.1,0.27,0.33,1.3,0.045,26.0,100.0,2.98,0.44,6
257,7.2,0.23,0.39,14.2,0.058,49.0,192.0,2.98,0.48,7
258,7.0,0.24,0.47,1.3,0.043,18.0,131.0,3.19,0.45,6
259,7.1,0.21,0.4,1.2,0.069,24.0,156.0,3.42,0.43,6
260,5.8,0.28,0.28,4.2,0.044,52.0,158.0,3.35,0.44,7
261,7.3,0.36,0.62,7.1,0.033,48.0,185.0,3.14,0.62,6
262,9.2,0.27,0.34,10.5,0.043,49.0,228.0,3.04,0.41,6
263,7.6,0.2,0.31,1.4,0.047,41.0,142.0,3.43,0.53,6
264,12.3,0.5,0.49,2.2,0.089,5.0,14.0,3.19,0.44,5
265,7.8,0.64,0.0,1.9,0.072,27.0,55.0,3.31,0.63,5
266,6.4,0.34,0.23,6.3,0.039,37.0,143.0,3.19,0.65,6
267,7.8,0.32,0.33,2.4,0.037,18.0,101.0,3.21,0.65,7
268,7.6,0.23,0.4,5.2,0.066,14.0,91.0,3.17,0.8,5
269,6.9,0.16,0.3,9.6,0.057,50.0,185.0,3.39,0.38,6
270,5.6,0.185,0.19,7.1,0.048,36.0,110.0,3.26,0.41,6
271,7.2,0.25,0.28,14.4,0.055,55.0,205.0,3.12,0.38,7
272,8.6,0.265,0.36,1.2,0.034,15.0,80.0,2.95,0.36,7
273,6.9,0.36,0.35,8.6,0.038,37.0,125.0,3.0,0.32,8
274,6.0,0.17,0.36,1.7,0.042,14.0,61.0,3.22,0.54,6
275,7.4,0.3,0.32,1.7,0.03,23.0,128.0,3.17,0.66,5
276,8.2,0.28,0.6,3.0,0.104,10.0,22.0,3.39,0.68,5
277,5.9,0.44,0.33,1.2,0.049,12.0,117.0,3.46,0.44,5
278,5.8,0.28,0.66,9.1,0.039,26.0,159.0,3.66,0.55,5
279,6.2,0.39,0.24,4.8,0.037,45.0,138.0,3.23,0.43,7
280,6.8,0.59,0.1,1.7,0.063,34.0,53.0,3.41,0.67,5
281,7.2,0.56,0.26,2.0,0.083,13.0,100.0,3.26,0.52,5
282,8.0,0.13,0.25,1.1,0.033,15.0,86.0,2.98,0.39,8
283,9.2,0.92,0.24,2.6,0.087,12.0,93.0,3.48,0.54,5
284,6.5,0.34,0.28,1.8,0.041,43.0,188.0,3.13,0.37,6
285,7.0,0.2,0.4,1.1,0.058,30.0,93.0,3.03,0.38,6
286,7.6,0.2,0.39,2.6,0.044,30.0,180.0,3.46,0.44,7
287,7.5,0.3,0.71,1.3,0.16,44.0,149.0,3.08,0.42,5
288,6.6,0.16,0.29,1.8,0.05,40.0,147.0,3.06,0.44,7
289,6.1,0.41,0.0,1.6,0.063,36.0,87.0,3.27,0.67,6
290,6.1,0.48,0.09,1.7,0.078,18.0,30.0,3.45,0.54,6
291,6.3,0.67,0.48,12.6,0.052,57.0,222.0,3.17,0.52,6
292,6.3,0.19,0.21,1.8,0.049,35.0,163.0,3.31,0.5,6
293,7.5,0.51,0.02,1.7,0.084,13.0,31.0,3.36,0.54,6
294,6.8,0.26,0.29,11.9,0.052,54.0,160.0,3.03,0.58,6
295,9.5,0.46,0.24,2.7,0.092,14.0,44.0,3.12,0.74,6
296,6.6,0.19,0.28,11.8,0.042,54.0,137.0,3.18,0.37,6
297,8.4,0.22,0.3,1.3,0.038,45.0,122.0,3.13,0.54,7
298,6.9,0.31,0.32,1.2,0.024,20.0,166.0,3.05,0.54,6
299,6.5,0.26,0.32,16.5,0.045,44.0,166.0,3.38,0.46,6
300,8.8,0.33,0.41,5.9,0.073,7.0,13.0,3.3,0.62,7
301,9.4,0.27,0.53,2.4,0.074,6.0,18.0,3.2,1.13,7
302,9.7,0.66,0.34,2.6,0.094,12.0,88.0,3.26,0.66,5
303,7.1,0.25,0.32,10.3,0.041,66.0,272.0,3.17,0.52,6
304,7.0,0.46,0.2,16.7,0.046,50.0,184.0,3.08,0.56,5
305,6.6,0.24,0.28,6.7,0.032,26.0,91.0,3.13,0.32,6
306,7.6,0.33,0.36,2.1,0.034,26.0,172.0,3.42,0.48,4
307,6.4,0.22,0.34,1.4,0.023,56.0,115.0,3.18,0.7,6
308,7.0,0.26,0.59,1.4,0.037,40.0,120.0,3.34,0.41,7
309,7.7,0.23,0.31,10.7,0.038,59.0,186.0,3.12,0.55,6
310,5.9,0.62,0.28,3.5,0.039,55.0,152.0,3.44,0.44,6
311,6.9,0.3,0.21,7.2,0.045,54.0,190.0,3.22,0.48,5
312,6.3,0.39,0.16,1.4,0.08,11.0,23.0,3.34,0.56,5
313,5.6,0.605,0.05,2.4,0.073,19.0,25.0,3.56,0.55,5
314,7.2,0.25,0.19,8.0,0.044,51.0,172.0,3.16,0.44,5
315,8.0,0.55,0.42,12.6,0.211,37.0,213.0,2.99,0.56,5
316,7.0,0.12,0.19,4.9,0.055,27.0,127.0,3.29,0.41,5
317,6.4,0.3,0.38,7.8,0.046,35.0,192.0,3.1,0.37,5
318,5.0,0.35,0.25,7.8,0.031,24.0,116.0,3.39,0.4,6
319,9.8,0.5,0.49,2.6,0.25,5.0,20.0,3.31,0.79,6
320,9.8,0.34,0.39,1.4,0.066,3.0,7.0,3.19,0.55,7
321,6.5,0.35,0.31,10.2,0.069,58.0,170.0,3.18,0.49,5
322,7.4,0.26,0.3,7.9,0.049,38.0,157.0,3.13,0.48,6
323,5.4,0.255,0.33,1.2,0.051,29.0,122.0,3.37,0.66,6
324,6.4,0.12,0.49,6.4,0.042,49.0,161.0,3.34,0.44,6
325,9.1,0.775,0.22,2.2,0.079,12.0,48.0,3.18,0.51,5
326,6.5,0.22,0.28,3.7,0.059,29.0,151.0,3.23,0.41,7
327,8.9,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,7
328,6.5,0.22,0.19,1.1,0.064,36.0,191.0,3.05,0.5,6
329,9.0,0.39,0.4,1.3,0.044,25.0,50.0,3.2,0.83,6
330,6.4,0.29,0.32,2.4,0.014,34.0,89.0,3.24,0.66,7
331,7.4,0.33,0.26,15.6,0.049,67.0,210.0,3.06,0.68,5
332,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,6
333,6.9,0.3,0.25,3.3,0.041,26.0,124.0,3.18,0.5,6
334,8.0,0.18,0.37,0.9,0.049,36.0,109.0,2.89,0.44,6
335,7.2,0.34,0.23,8.9,0.105,22.0,155.0,3.01,0.58,5
336,7.5,0.58,0.03,4.1,0.08,27.0,46.0,3.02,0.47,5
337,8.2,0.61,0.45,5.4,0.03,15.0,118.0,3.14,0.34,5
338,8.7,0.84,0.0,1.4,0.065,24.0,33.0,3.27,0.55,5
339,6.8,0.21,0.36,18.1,0.046,32.0,133.0,3.27,0.48,5
340,7.9,0.51,0.36,6.2,0.051,30.0,173.0,3.09,0.53,5
341,6.3,0.695,0.55,12.9,0.056,58.0,252.0,3.29,0.49,5
342,6.3,0.34,0.52,6.3,0.047,63.0,186.0,3.18,0.44,5
343,9.6,0.68,0.24,2.2,0.087,5.0,28.0,3.14,0.6,5
344,7.9,0.545,0.06,4.0,0.087,27.0,61.0,3.36,0.67,6
345,6.0,0.21,0.3,8.7,0.036,47.0,127.0,3.18,0.39,5
